date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:32	13/13	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jul%202017%2007:09:31%20GMT	http://kykyzla.xyz/robots.txt		(from )
10:09:32	2150/2150	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jul%202017%2007:09:31%20GMT	http://kykyzla.xyz/	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/index.html	(from )
10:09:34	21956/21956	---MCZ	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202017%2009:32:07%20GMT	http://kykyzla.xyz/assets/css/main.css	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/assets/css/main.css	(from )
10:09:38	13/13	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jul%202017%2007:09:37%20GMT	http://kykyzla.xyz/song.ogg	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/song.3.delayed	(from )
10:09:39	29063/29063	---MCZ	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202017%2009:31:58%20GMT	http://kykyzla.xyz/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/assets/css/font-awesome.min.css	(from http://kykyzla.xyz/)
10:09:45	13892/13892	---M--	200	added ('OK')	image/png	etag:%2259425f62-3644%22	http://kykyzla.xyz/assets/css/images/overlay-pattern.png	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/assets/css/images/overlay-pattern.png	(from http://kykyzla.xyz/)
10:09:47	785/785	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2015%20Jun%202017%2010:20:15%20GMT	http://kykyzla.xyz/assets/css/images/overlay.svg	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/assets/css/images/overlay.svg	(from http://kykyzla.xyz/)
10:09:52	198333/198333	---M--	200	added ('OK')	image/jpeg	etag:%225966de23-306bd%22	http://kykyzla.xyz/fav.jpg	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/fav.jpg	(from )
10:10:04	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22594265e6-12ae6%22	http://kykyzla.xyz/assets/fonts/fontawesome-webfont.eot?v=4.6.3	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/assets/fonts/fontawesome-webfont5b62.eot	(from http://kykyzla.xyz/assets/css/main.css)
10:10:05	71896/71896	---M--	200	added ('OK')	application/font-woff2	etag:%22594265e9-118d8%22	http://kykyzla.xyz/assets/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/assets/fonts/fontawesome-webfont5b62.woff2	(from http://kykyzla.xyz/assets/css/main.css)
10:10:05	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22594265e6-12ae6%22	http://kykyzla.xyz/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/assets/fonts/fontawesome-webfontd41d.eot	(from http://kykyzla.xyz/assets/css/main.css)
10:10:12	391622/391622	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2015%20Jun%202017%2010:49:14%20GMT	http://kykyzla.xyz/assets/fonts/fontawesome-webfont.svg?v=4.6.3	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/assets/fonts/fontawesome-webfont5b62.svg	(from http://kykyzla.xyz/assets/css/main.css)
10:10:21	90412/90412	---M--	200	added ('OK')	application/font-woff	etag:%22594265e9-1612c%22	http://kykyzla.xyz/assets/fonts/fontawesome-webfont.woff?v=4.6.3	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/assets/fonts/fontawesome-webfont5b62.woff	(from http://kykyzla.xyz/assets/css/main.css)
10:10:26	152796/152796	---M--	200	added ('OK')	application/font-sfnt	etag:%22594265e9-254dc%22	http://kykyzla.xyz/assets/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/assets/fonts/fontawesome-webfont5b62.ttf	(from http://kykyzla.xyz/assets/css/main.css)
10:10:27	416903/416903	---M--	200	added ('OK')	image/jpeg	etag:%225965676b-65c87%22	http://kykyzla.xyz/assets/css/images/bg.jpg	C:/My%20Web%20Sites/Kykyzla.xyz/kykyzla.xyz/assets/css/images/bg.jpg	(from http://kykyzla.xyz/)
